Retail_Clearance,Retail_InTransitQTY,Retail_Product_Color,Retail_Product_Dimension,Retail_Product_ExternalSKU,Retail_Product_ImageURL,Retail_Product_Level1,Retail_Product_Level1Name,Retail_Product_Level2,Retail_Product_Level2Name,Retail_Product_Level3,Retail_Product_Level3Name,Retail_Product_Level4,Retail_Product_Level4Name,Retail_Product_Level5,Retail_Product_Level5Name,Retail_Product_Manufacturer,Retail_Product_Name,Retail_Product_RFIDTagged,Retail_Product_SKU,Retail_Product_Size,Retail_Product_Style,Retail_Product_UOM,Retail_Product_UPC,Retail_Product_UPCs,Retail_SFMax,Retail_SFMin,Retail_SOHDate,Retail_SOHQTY,Retail_SOHQTY_SF,Retail_SOHQTY_SR,Retail_StoreInProcess,Retail_StoreNumber,serial,thingTypeId
false,0,CINZA,NaVal,NaVal,NaVal,C,VESTUARIO,NaVal,CP,CPM,CPM,CPMGR,CPMG,CP,CPMGR,NaVal,3 PARES MEIA CURTA ACC SLO CACHORRO   BR,NaVal,9436290001,34/39,MEIA CASUAL/ESPORTIVA,NaVal,00094362900184,00094362900184,0,0,2022-08-16 07:00:36.468,3,3,0,0,233,233_009436290001,384
false,0,ROSA,NaVal,NaVal,NaVal,C,VESTUARIO,NaVal,CY,CYB,CYB,CYBAB,CYBA,NaVal,CYBAB,NaVal,CALCA  CRN MSA INK BARRA NAVALHADA LISO,NaVal,9479850004,44,CALÇA JEANS,NaVal,00094798500408,00094798500408,0,0,2022-08-16 07:00:36.468,1,1,0,0,233,233_009479850004,384
false,0,VERMELHO,NaVal,NaVal,NaVal,C,VESTUARIO,NaVal,CY,CYA,CYA,CYABA,CYAB,SARJA,CYABA,NaVal,CALCA SARJA CRN PRD INK five pockets 191,NaVal,9543960005,40,CALÇA SARJA,NaVal,00095439600501,00095439600501,0,0,2022-08-16 07:00:36.468,1,1,0,0,233,233_009543960005,384
false,0,VERMELHO,NaVal,NaVal,NaVal,C,VESTUARIO,NaVal,C7,C7A,C7A,C7ASS,C7AS,C7,C7ASS,NaVal,SHORT DOLL TG MC ACORDEI VERM LUA C7 46,NaVal,9598650001,46,BERMUDOL/SHORT DOLL,NaVal,00095986500101,00095986500101,0,0,2022-08-16 07:00:36.468,1,1,0,0,233,233_009598650001,384
false,0,NA,NaVal,NaVal,NaVal,W,BELEZA,NaVal,WB,WBQ,WBQ,WBQFB,WBQF,NaVal,WBQFB,NaVal,MASCARA SELADORA JEQUITI FYO PROFISSIONA,NaVal,8813370000,NA,MASCARA,NaVal,07899601710448,07899601710448|00088133700066,0,0,2022-08-16 07:00:36.468,2,2,0,0,233,233_008813370000,384
false,0,JEANS,NaVal,NaVal,NaVal,C,VESTUARIO,NaVal,CY,NaVal,CYA,NaVal,CYAD,JEANS,CYADF,NaVal,BERMUDA JEANS CRN MSA INK USED BARRA DES,NaVal,9573010006,42,BOTTOM CURTO JEANS,NaVal,00095730100687,00095730100687,0,0,2022-08-16 07:00:36.468,3,3,0,0,233,233_009573010006,384
false,0,PRETO,NaVal,NaVal,NaVal,C,VESTUARIO,NaVal,C5,NaVal,C5A,NaVal,C5AA,C5,C5AAA,NaVal,OCULOS  C5 MSA MAIS ACESSORIOS FEM ACE P,NaVal,9682890001,UNICO,ÓCULOS ACETATO,NaVal,00096828900189,00096828900189,0,0,2022-08-16 07:00:36.468,1,1,0,0,233,233_009682890001,384
false,0,JEANS,NaVal,NaVal,NaVal,C,VESTUARIO,NaVal,CY,CYA,CYA,CYADF,CYAD,JEANS,CYADF,NaVal,BERMUDA JEANS CRN MSA INK USED BARRA FEI,NaVal,9573060004,42,BOTTOM CURTO JEANS,NaVal,00095730600491,00095730600491,0,0,2022-08-16 07:00:36.468,1,1,0,0,233,233_009573060004,384
false,0,JEANS,NaVal,NaVal,NaVal,C,VESTUARIO,NaVal,CY,CYA,CYA,CYAIA,CYAI,JEANS,CYAIA,NaVal,MACACAO SEM MANGA JEANS CRN PRD INK RASG,NaVal,9480830006,36,INTEIRO,NaVal,00094808300653,00094808300653,0,0,2022-08-16 07:00:36.468,1,1,0,0,233,233_009480830006,384
false,0,ROXO,NaVal,NaVal,NaVal,C,VESTUARIO,NaVal,C7,C7A,C7A,C7AKL,C7AK,C7,C7AKL,NaVal,2 CALCINHAS BIQUNI TG  RENDA LOLA ROXO P,NaVal,9320330002,M,KIT CALCINHA,NaVal,00093203300213,00093203300213,0,0,2022-08-16 07:00:36.468,1,1,0,0,233,233_009320330002,384
